nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
Taylor,Olivia,73,173.6,57.3,F,non,bac+2,Corse,non,oui,3064,,,0.79,2022-07-07,671.0,,500.0
Curry,Malik,69,160.9,68.7,H,oui,aucun,Hauts-de-France,non,non,1017,,5.0,0.87,2020-07-17,,5000.0,500.0
Perez,Kayla,23,170.3,85.0,H,oui,master,Hauts-de-France,non,oui,3988,célibataire,0.0,0.85,2022-02-26,,5000.0,24730.355875804602
Lee,Brianna,72,174.1,58.1,F,non,master,Corse,oui,oui,1806,marié,,0.17,2024-03-04,,10000.0,500.0
Bailey,Jennifer,59,167.0,71.4,H,oui,bac,Auvergne-Rhône-Alpes,non,non,1207,célibataire,,0.87,2024-08-05,304.0,,500.0
Aguirre,Kenneth,54,179.2,84.6,F,non,master,Corse,oui,non,2872,marié,3.0,0.37,2022-05-03,,,500.0
Roberson,Tony,46,159.9,55.6,H,non,doctorat,Île-de-France,non,non,3772,divorcé,2.0,0.4,2023-12-09,307.0,445.11,10757.139454873057
Frye,Anna,36,181.1,69.8,F,oui,master,Corse,non,oui,2946,marié,3.0,0.87,2021-11-23,,1055.74,5490.53794572042
Sanford,Susan,50,169.1,72.3,F,non,bac+2,Bretagne,oui,oui,3636,,,0.81,2020-12-15,490.0,,15661.184776389016
Smith,Steven,31,178.8,67.9,H,non,doctorat,Hauts-de-France,non,oui,1163,veuf,,0.83,2020-07-13,741.0,710.0,9176.788381736047
Berry,Eric,68,163.2,84.5,H,oui,bac+2,Occitanie,non,non,3435,célibataire,0.0,0.68,2021-10-19,,10000.0,4494.761031862237
Oneill,Valerie,64,161.7,55.2,F,non,bac,Hauts-de-France,non,non,1213,,,0.62,2022-11-22,659.0,5000.0,500.0
Hamilton,Bryan,47,168.6,78.9,H,oui,bac+2,Normandie,non,oui,1131,,,0.99,2023-04-23,,742.2,14402.909931756109
Dyer,Alexis,50,170.2,75.0,H,non,doctorat,Île-de-France,non,oui,2734,veuf,3.0,0.63,2021-01-22,590.0,10000.0,31663.41744381156
Warner,Miguel,26,172.4,64.9,F,oui,bac,Auvergne-Rhône-Alpes,oui,non,1998,marié,,0.01,2020-01-25,,,500.0
Carter,Laura,53,167.1,65.4,F,non,bac,Auvergne-Rhône-Alpes,non,oui,2113,veuf,2.0,0.26,2021-09-19,444.0,5000.0,12283.824659466776
Perez,Robert,48,178.6,78.3,F,oui,doctorat,Normandie,non,oui,3399,,0.0,0.65,2020-01-31,532.0,10000.0,34299.070914559976
Long,Erin,37,181.5,66.2,H,non,master,Auvergne-Rhône-Alpes,oui,oui,1240,célibataire,2.0,0.5,2023-02-16,,10000.0,7752.976812037242
Wilson,David,39,161.5,61.5,H,oui,master,Île-de-France,oui,non,1845,marié,,0.69,2020-02-21,365.0,,500.0
Kramer,Victor,52,165.5,65.8,H,oui,bac,Hauts-de-France,non,oui,1860,célibataire,1.0,0.9,2020-03-28,,,2393.4958512787707
Werner,Lucas,30,181.2,86.1,F,non,master,Corse,non,oui,882,divorcé,5.0,0.51,2023-05-12,,5000.0,500.0
Warren,Michael,71,174.3,54.1,F,non,bac,Auvergne-Rhône-Alpes,non,non,3340,,1.0,0.03,2020-07-12,,5000.0,500.0
Jackson,Mary,66,149.1,78.8,H,non,master,Provence-Alpes-Côte d’Azur,non,non,2210,marié,,0.53,2025-01-15,,,7907.986028825899
Fox,Andrew,52,164.2,82.5,F,non,doctorat,Corse,non,non,1271,veuf,,0.17,2021-06-27,308.0,,500.0
Sanchez,Justin,34,148.0,69.9,F,non,bac+2,Occitanie,oui,oui,839,veuf,,0.07,2020-11-04,721.0,5000.0,500.0
Stevens,James,44,170.3,42.6,H,oui,bac,Occitanie,oui,non,1878,,,0.15,2020-02-24,709.0,5000.0,500.0
Hernandez,Thomas,58,164.8,64.8,F,non,bac+2,Corse,oui,oui,3401,veuf,4.0,0.57,2025-05-07,314.0,,500.0
Russell,Alejandra,59,160.0,67.0,F,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,602,,,0.31,2022-12-08,,1057.05,11659.63880709411
Brown,Adrian,25,179.3,79.7,F,non,aucun,Bretagne,oui,non,3853,,,0.47,2024-11-16,,,500.0
Wilson,Laurie,57,172.7,53.5,F,non,master,Normandie,non,oui,1785,marié,3.0,0.27,2021-07-17,,,12237.900868549805
Rios,John,29,153.1,58.1,F,non,bac+2,Occitanie,oui,oui,1286,,,0.71,2023-11-04,,10000.0,500.0
Burns,Thomas,68,170.5,73.8,H,non,master,Bretagne,oui,oui,3326,célibataire,,0.83,2020-09-28,,10000.0,19154.85547714953
Allen,Frank,61,173.0,73.4,F,non,master,Hauts-de-France,non,oui,3024,veuf,,0.74,2025-01-04,792.0,840.9,20832.76865113435
Moore,Diane,20,162.2,101.1,H,non,master,Bretagne,non,non,4571,,,0.57,2021-04-23,,596.18,5410.251949718845
Hall,Brian,64,175.5,55.5,F,non,bac,Bretagne,non,oui,1977,veuf,,0.73,2022-02-28,449.0,,9766.849752827226
Hernandez,Karen,46,174.7,53.9,H,oui,bac,Normandie,oui,non,5050,divorcé,0.0,0.66,2023-08-22,,491.11,500.0
Glover,Dana,63,167.1,54.2,H,oui,master,Auvergne-Rhône-Alpes,non,non,749,,2.0,0.93,2022-05-27,601.0,1179.53,3075.8252099937777
Payne,Robert,39,182.2,41.4,F,non,doctorat,Corse,oui,oui,2055,,1.0,0.06,2020-10-16,511.0,,500.0
Ward,James,44,170.4,79.9,H,oui,bac,Hauts-de-France,oui,non,2171,,,0.68,2024-10-19,793.0,10000.0,500.0
Terrell,Phillip,32,167.2,70.0,H,oui,bac+2,Auvergne-Rhône-Alpes,oui,oui,876,,,0.43,2021-09-11,,10000.0,3610.2211866043167
Hester,Melissa,27,158.8,59.5,F,non,bac,Hauts-de-France,oui,oui,1917,,1.0,0.49,2020-03-19,844.0,5000.0,500.0
Marsh,Karen,53,158.0,78.4,H,non,doctorat,Corse,oui,oui,2272,divorcé,5.0,0.05,2022-05-05,316.0,,4701.838995519641
Vasquez,David,74,158.4,78.0,H,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,3386,célibataire,,0.11,2023-04-07,565.0,1193.01,22417.009032004535
Berg,Ronald,25,179.6,48.1,H,non,master,Corse,oui,oui,2831,célibataire,,0.59,2022-01-26,416.0,5000.0,644.1993242211192
Cervantes,Nancy,64,164.7,84.7,F,non,bac+2,Normandie,non,oui,1844,célibataire,,0.08,2020-03-01,,5000.0,1173.1008272263844
Gray,Courtney,31,181.3,52.4,H,oui,master,Normandie,non,oui,2265,,,0.48,2022-10-04,451.0,5000.0,28017.181035695095
Smith,Elizabeth,30,155.7,81.1,H,non,bac+2,Corse,non,non,2733,célibataire,5.0,0.46,2022-05-22,,5000.0,500.0
Anderson,Brian,50,171.8,73.6,F,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,3985,marié,,0.08,2021-05-23,388.0,,18961.86738336764
Harmon,Cody,22,184.2,65.5,F,non,aucun,Provence-Alpes-Côte d’Azur,oui,non,1944,célibataire,2.0,0.62,2020-01-05,,495.9,500.0
Orozco,Jesse,34,181.8,80.6,F,oui,master,Occitanie,oui,non,3390,veuf,,0.01,2025-01-18,512.0,,500.0
Simmons,Chad,59,172.6,54.5,F,oui,bac,Île-de-France,oui,non,1972,,3.0,0.43,2021-01-28,,10000.0,500.0
Mendez,Jaime,70,174.0,78.4,F,non,doctorat,Normandie,oui,oui,3302,divorcé,0.0,0.23,2024-03-02,,,13783.80607672076
King,Katherine,52,167.0,85.6,H,non,doctorat,Normandie,oui,non,4992,,,0.38,2023-12-16,713.0,,16788.752609237832
Rosario,Sue,66,164.0,75.6,F,oui,bac+2,Bretagne,oui,oui,3786,marié,2.0,0.92,2021-03-07,646.0,,20462.51536449928
Walker,Sylvia,61,160.1,73.3,H,non,bac,Provence-Alpes-Côte d’Azur,non,non,4350,divorcé,0.0,0.09,2021-07-02,,5000.0,500.0
Lopez,Francisco,41,174.2,70.5,H,oui,master,Corse,non,non,4145,veuf,4.0,0.88,2020-09-19,588.0,1240.29,632.9856113192295
Hogan,Sean,50,170.8,66.3,F,oui,bac,Occitanie,oui,non,500,marié,0.0,0.78,2025-04-27,,1353.1,500.0
Booth,Michael,57,172.0,42.6,F,non,doctorat,Normandie,non,oui,2178,célibataire,,0.95,2024-04-08,,886.46,20684.490865286793
Contreras,Jessica,34,165.4,64.4,H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,2429,marié,,0.23,2022-02-27,651.0,10000.0,27116.72727661969
Nicholson,Sara,47,173.4,80.7,F,oui,bac,Île-de-France,oui,oui,3343,,2.0,0.04,2022-12-01,348.0,1172.4,8942.330149292458
Wilson,Samuel,22,180.9,85.4,H,non,master,Occitanie,oui,oui,3619,,,0.76,2022-05-30,756.0,10000.0,14150.906182132157
Russell,Anthony,49,174.4,87.4,H,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,1159,divorcé,,0.14,2025-03-20,,5000.0,911.8344008424629
Cabrera,Carolyn,73,158.8,62.7,F,non,bac,Normandie,non,non,3797,veuf,5.0,0.09,2024-10-06,,10000.0,500.0
Harris,Jesus,28,178.2,67.1,H,non,doctorat,Bretagne,oui,non,3285,divorcé,3.0,0.51,2022-09-12,731.0,10000.0,7662.696371813117
Watkins,Andrew,69,160.9,88.0,F,non,doctorat,Corse,non,non,3089,marié,5.0,0.37,2024-10-13,,5000.0,500.0
Lewis,Aaron,36,176.4,60.4,H,oui,master,Provence-Alpes-Côte d’Azur,oui,non,2441,veuf,0.0,0.91,2024-12-05,,524.04,500.0
Barnes,Jennifer,29,170.8,75.3,H,oui,master,Bretagne,non,non,2741,célibataire,,0.5,2021-06-25,603.0,10000.0,7941.187814486619
Green,Richard,37,184.5,52.9,F,non,doctorat,Bretagne,non,oui,2320,divorcé,,0.52,2025-05-12,,10000.0,26268.84112909936
Becker,Robyn,56,165.2,93.0,F,non,master,Corse,non,oui,500,divorcé,4.0,0.45,2025-01-05,,989.28,1291.4350643599728
Jackson,Cody,50,170.4,88.1,F,oui,master,Occitanie,non,oui,2244,marié,5.0,0.9,2023-05-13,328.0,10000.0,18591.464775323664
Gray,Michelle,47,179.3,73.9,F,non,bac,Occitanie,oui,non,1798,veuf,0.0,0.96,2024-04-14,,10000.0,500.0
Gould,Michael,43,171.8,65.4,H,oui,master,Bretagne,non,oui,3645,marié,3.0,0.96,2021-10-08,,5000.0,40198.0144647437
Vazquez,Robin,47,170.9,64.4,F,non,bac,Normandie,oui,oui,3092,divorcé,,0.68,2025-04-11,606.0,,500.0
Castillo,Tamara,42,192.8,77.9,H,oui,bac+2,Auvergne-Rhône-Alpes,oui,non,2920,marié,1.0,0.16,2020-06-05,370.0,10000.0,500.0
Henderson,Elizabeth,26,170.8,73.1,H,oui,doctorat,Bretagne,oui,non,1963,divorcé,2.0,0.67,2024-05-21,,,500.0
Crawford,Jamie,56,153.9,73.2,H,non,bac+2,Hauts-de-France,non,non,4478,,3.0,0.11,2024-01-05,658.0,,588.9678205526361
Phillips,Elizabeth,41,172.2,64.9,F,non,doctorat,Bretagne,non,non,2150,marié,,0.98,2024-07-20,,,500.0
Yu,Richard,72,164.7,54.1,H,oui,aucun,Provence-Alpes-Côte d’Azur,non,oui,3735,,,0.26,2025-05-09,383.0,1024.29,22357.028107605536
Freeman,Benjamin,69,168.5,53.6,H,oui,bac+2,Normandie,oui,oui,3482,célibataire,2.0,0.91,2022-10-22,542.0,723.33,15574.614222471444
Moore,Ryan,41,184.3,62.6,H,oui,doctorat,Bretagne,non,oui,2509,célibataire,3.0,0.29,2025-01-28,712.0,,41882.51994587498
Jones,Alicia,33,162.4,87.6,H,oui,master,Normandie,non,non,2591,célibataire,,0.84,2023-04-29,806.0,5000.0,7061.1957444554755
Noble,Thomas,47,174.4,98.2,F,oui,bac+2,Occitanie,non,oui,2710,marié,,0.36,2021-03-10,,10000.0,19449.22196772795
Kennedy,Amanda,26,180.9,82.7,F,non,bac+2,Hauts-de-France,oui,oui,1096,marié,,0.73,2024-08-15,834.0,10000.0,500.0
Williams,Melanie,57,161.2,73.2,F,non,doctorat,Île-de-France,non,non,1852,divorcé,,0.01,2024-05-21,,10000.0,500.0
Shields,Christopher,56,178.9,56.7,F,non,doctorat,Bretagne,non,oui,3700,marié,0.0,0.82,2024-12-07,,1224.29,25439.4073737775
Ayers,Kara,47,172.5,68.3,H,non,doctorat,Hauts-de-France,non,oui,1344,veuf,0.0,0.82,2023-11-04,312.0,,11626.191208630838
Davis,Autumn,35,178.5,98.0,F,non,bac+2,Île-de-France,oui,non,3858,célibataire,,0.15,2021-01-23,388.0,5000.0,500.0
Mills,Amber,72,151.1,81.2,H,oui,aucun,Normandie,oui,non,1545,veuf,4.0,0.48,2021-03-02,,908.08,500.0
Mendoza,Michael,33,182.4,66.0,F,non,bac+2,Hauts-de-France,oui,oui,5890,célibataire,,0.25,2020-02-07,,,9945.783596853116
Garcia,Donna,50,178.0,79.2,H,non,bac,Bretagne,oui,oui,2408,,2.0,0.15,2023-03-13,684.0,10000.0,5624.001523459144
Bell,Kimberly,63,165.9,67.8,F,oui,doctorat,Occitanie,non,non,500,divorcé,1.0,0.82,2024-11-30,,5000.0,2802.549262989341
Harper,Danielle,28,166.0,87.5,F,oui,aucun,Île-de-France,oui,non,500,veuf,,0.13,2024-12-12,720.0,5000.0,500.0
Newton,Richard,21,164.9,84.9,H,non,bac,Bretagne,non,non,1982,marié,1.0,0.78,2023-12-28,,10000.0,500.0
Walker,Brett,50,163.4,55.5,H,non,doctorat,Provence-Alpes-Côte d’Azur,oui,non,1583,,,0.59,2024-12-16,,,500.0
Nash,Kathleen,67,162.7,57.0,F,oui,bac+2,Bretagne,non,non,3268,marié,4.0,0.08,2024-07-10,,1112.48,500.0
Watson,Joshua,72,167.1,93.4,F,non,doctorat,Auvergne-Rhône-Alpes,non,non,1887,veuf,5.0,0.45,2024-10-27,366.0,5000.0,500.0
Miller,Clifford,23,169.6,75.6,F,non,aucun,Auvergne-Rhône-Alpes,non,oui,1556,divorcé,,0.81,2022-10-06,,578.5,500.0
Lewis,Luis,30,164.0,81.7,F,oui,bac,Occitanie,non,non,6564,,,0.69,2020-06-07,,,4547.178419619028
Carson,Haley,48,172.2,92.9,H,non,bac,Normandie,non,non,4077,célibataire,5.0,0.65,2020-05-30,307.0,5000.0,500.0
Robertson,Robert,28,163.4,77.3,H,non,bac+2,Hauts-de-France,non,oui,3984,,2.0,0.46,2021-01-25,,,19537.772004346793
Reed,Walter,59,177.4,57.6,F,non,bac,Corse,non,non,3611,divorcé,3.0,0.23,2021-10-30,791.0,10000.0,500.0
Lopez,Kimberly,67,168.3,71.8,H,oui,master,Île-de-France,oui,oui,3797,marié,4.0,0.21,2020-04-02,,10000.0,32485.5125850616
George,Mark,45,145.8,70.5,F,oui,aucun,Occitanie,non,non,3167,célibataire,4.0,0.89,2025-01-06,,5000.0,500.0
Payne,Brenda,37,165.3,70.7,F,oui,bac+2,Hauts-de-France,oui,oui,2145,,3.0,0.51,2023-12-16,718.0,360.21,500.0
Harris,Jacqueline,20,164.6,82.1,F,oui,doctorat,Occitanie,non,oui,1362,,3.0,0.22,2023-07-11,,517.66,41560.15576416807
Campbell,Judith,66,157.8,59.6,H,oui,master,Auvergne-Rhône-Alpes,non,oui,3157,marié,3.0,0.51,2023-06-13,383.0,10000.0,33945.46844796113
Ritter,Clayton,46,169.6,77.3,F,non,master,Auvergne-Rhône-Alpes,oui,oui,1221,divorcé,,0.15,2022-11-19,513.0,10000.0,1955.9239199434505
Santiago,Lisa,66,183.9,61.3,F,non,bac+2,Provence-Alpes-Côte d’Azur,non,oui,2125,célibataire,,0.36,2021-03-05,680.0,,15170.36011704685
Mccoy,Ethan,74,167.9,73.7,H,non,master,Provence-Alpes-Côte d’Azur,non,oui,3775,marié,5.0,0.43,2023-11-01,,5000.0,24446.63140042045
Myers,Danielle,31,177.5,79.4,F,oui,doctorat,Auvergne-Rhône-Alpes,non,oui,500,,1.0,0.59,2021-09-02,353.0,10000.0,17504.061902659647
Barrett,Shannon,21,179.2,64.3,H,oui,aucun,Corse,oui,oui,1874,divorcé,,0.4,2023-02-02,,139.39,500.0
Miller,Eric,42,168.2,63.5,F,non,bac,Auvergne-Rhône-Alpes,non,oui,2454,divorcé,,0.12,2023-12-07,,,8812.842472648894
Powell,Michael,60,168.8,68.9,F,non,master,Bretagne,non,non,1761,veuf,0.0,0.25,2024-12-19,761.0,10000.0,500.0
Turner,Lindsay,45,184.8,93.8,F,non,bac,Normandie,oui,oui,858,veuf,,0.93,2023-05-03,,1175.03,500.0
Waters,Joseph,47,165.4,69.9,F,non,bac,Corse,non,oui,1093,,5.0,0.46,2025-04-22,,5000.0,500.0
Mcclain,Kevin,22,163.1,55.9,F,non,bac,Normandie,non,oui,2361,veuf,,0.05,2020-04-27,453.0,5000.0,500.0
Weaver,Robert,42,179.5,62.8,H,non,bac,Corse,oui,oui,2505,veuf,2.0,0.4,2023-05-14,341.0,,500.0
Valdez,Sean,46,162.3,79.1,F,non,doctorat,Île-de-France,oui,oui,1462,,3.0,0.21,2023-06-10,,5000.0,15091.215431842027
Jacobson,Cameron,45,160.3,72.7,F,non,master,Normandie,oui,oui,3227,divorcé,2.0,0.36,2022-01-25,727.0,5000.0,10821.953499793866
Garcia,Noah,69,182.4,128.7,F,non,bac,Hauts-de-France,non,non,3159,marié,,0.45,2024-09-09,411.0,5000.0,500.0
Davenport,Nancy,47,173.0,87.7,F,non,aucun,Hauts-de-France,oui,oui,3199,,,0.89,2024-04-29,,5000.0,500.0
Gentry,Miguel,58,174.2,95.2,F,oui,bac+2,Hauts-de-France,oui,non,853,marié,3.0,0.37,2021-03-25,670.0,10000.0,500.0
Webb,Daniel,61,162.2,77.1,F,oui,master,Occitanie,oui,oui,1417,,5.0,0.75,2022-12-11,602.0,476.08,9744.640953057204
Farmer,Jennifer,24,170.2,49.8,F,oui,bac,Occitanie,non,oui,2561,marié,3.0,0.14,2020-11-02,324.0,,8124.204890406398
Oconnor,April,23,161.5,75.3,F,oui,doctorat,Bretagne,non,oui,2749,célibataire,,0.79,2022-05-31,,10000.0,33470.939436726454
Rodriguez,Ashley,75,178.3,90.5,F,oui,aucun,Corse,oui,non,1814,marié,,0.03,2023-08-29,783.0,5000.0,500.0
Robinson,Derrick,75,183.2,90.9,H,oui,bac+2,Occitanie,oui,oui,3215,veuf,1.0,0.41,2021-05-18,545.0,1615.86,28985.756050308053
Thompson,Mary,55,177.1,61.9,H,oui,master,Corse,non,oui,1630,,3.0,0.92,2024-06-08,396.0,10000.0,4779.832467356635
Lee,David,18,172.8,24.3,F,non,bac,Normandie,non,non,3023,célibataire,2.0,0.42,2021-10-08,753.0,849.98,500.0
Larsen,Brittany,28,156.4,58.1,H,oui,master,Auvergne-Rhône-Alpes,non,non,3161,veuf,,0.24,2022-04-26,766.0,5000.0,16681.56539002103
Crawford,Makayla,44,153.7,73.5,F,oui,bac+2,Auvergne-Rhône-Alpes,non,non,1548,,4.0,0.23,2020-07-10,,,500.0
Evans,Christopher,71,177.0,60.1,F,non,bac+2,Corse,non,oui,2701,,,0.52,2023-01-28,676.0,10000.0,9557.537801450388
Petty,Michelle,55,180.3,77.7,H,oui,master,Auvergne-Rhône-Alpes,oui,oui,4039,divorcé,,0.01,2025-02-19,450.0,,19479.099182897036
White,Andrea,38,165.9,51.5,H,non,aucun,Normandie,oui,oui,1622,divorcé,0.0,0.82,2025-04-19,,10000.0,500.0
Wilson,Jared,18,167.1,73.8,H,non,doctorat,Île-de-France,non,non,3129,,,0.23,2021-09-12,,5000.0,16007.406978408722
Clark,Ashlee,36,183.2,66.7,H,non,bac+2,Bretagne,non,oui,1241,,,0.09,2020-10-23,,,15578.74456558239
Williams,Nicholas,61,187.7,59.5,F,non,master,Provence-Alpes-Côte d’Azur,oui,non,4652,divorcé,,0.69,2022-06-24,608.0,834.95,500.0
Flores,Anthony,51,180.0,54.0,F,oui,aucun,Normandie,non,non,1346,célibataire,,0.06,2021-01-14,483.0,,500.0
Shaw,Renee,25,161.9,62.6,F,non,aucun,Provence-Alpes-Côte d’Azur,non,non,3639,veuf,5.0,0.02,2023-08-13,652.0,5000.0,500.0
Howard,Timothy,38,182.3,96.6,H,oui,doctorat,Hauts-de-France,non,oui,1562,divorcé,0.0,0.23,2020-03-28,,327.98,23999.55890665811
Bullock,Lori,47,167.0,45.9,F,oui,master,Auvergne-Rhône-Alpes,oui,oui,3629,divorcé,1.0,0.09,2020-05-06,556.0,,22178.341238577876
Thomas,Ryan,23,158.9,56.5,H,non,bac+2,Provence-Alpes-Côte d’Azur,non,oui,3427,marié,3.0,0.09,2024-12-25,,10000.0,24821.2313526381
Clark,Samantha,64,173.6,76.8,F,oui,bac,Occitanie,non,non,3088,célibataire,3.0,0.47,2020-05-17,794.0,1117.92,500.0
Roberts,Lisa,21,166.9,73.9,H,oui,aucun,Normandie,oui,non,4187,célibataire,,0.3,2021-12-02,,1459.24,500.0
Walter,Jennifer,59,168.7,48.1,F,oui,bac+2,Île-de-France,non,non,3509,,,0.6,2023-07-21,345.0,10000.0,500.0
Jones,Ryan,64,185.2,70.7,F,oui,aucun,Auvergne-Rhône-Alpes,non,non,2996,,,0.36,2023-03-24,,779.4,500.0
Salazar,Cheyenne,64,173.5,54.7,F,oui,master,Normandie,non,non,1581,,,0.69,2023-02-14,,978.3,500.0
Johnson,Andrew,39,156.7,86.3,H,non,bac+2,Normandie,oui,oui,4112,,3.0,0.62,2021-08-30,,208.7,10536.856476130917
Hoover,Jaclyn,71,163.0,74.2,F,oui,aucun,Occitanie,non,oui,1978,célibataire,,0.69,2021-03-16,,5000.0,9665.440368290292
Moore,Christopher,20,176.4,88.3,F,non,doctorat,Hauts-de-France,non,oui,1981,célibataire,,0.8,2022-08-25,725.0,10000.0,13639.19848062715
Wong,Robert,56,150.5,59.6,F,oui,bac+2,Normandie,non,non,3673,marié,,0.67,2022-09-21,,956.46,500.0
Smith,Amanda,46,186.3,62.8,H,oui,bac,Île-de-France,oui,oui,3540,marié,3.0,0.19,2022-08-12,,10000.0,11708.38967910269
Bennett,Samantha,24,160.9,88.8,F,non,bac+2,Provence-Alpes-Côte d’Azur,non,oui,3224,divorcé,5.0,0.64,2023-07-21,726.0,,22633.800575402543
Ortega,Wesley,52,172.0,89.1,F,non,bac+2,Auvergne-Rhône-Alpes,non,non,4235,divorcé,2.0,0.37,2024-03-13,,5000.0,500.0
Robinson,Anthony,58,167.6,75.2,H,non,bac,Occitanie,oui,non,1506,,4.0,0.15,2021-08-28,,5000.0,500.0
Howard,Joel,62,172.4,71.8,H,non,bac,Île-de-France,oui,oui,4219,veuf,1.0,0.05,2024-04-03,765.0,5000.0,16409.100271857806
Oconnor,Scott,21,167.6,52.9,F,non,doctorat,Île-de-France,non,non,2411,divorcé,,0.43,2023-06-06,551.0,123.46,500.0
Taylor,David,41,178.2,72.0,F,oui,master,Normandie,oui,non,2870,marié,,0.31,2020-09-24,380.0,5000.0,500.0
Mills,Tracey,34,171.3,33.0,F,non,aucun,Bretagne,non,oui,1308,veuf,2.0,0.76,2022-11-08,341.0,,500.0
Hunter,Ryan,62,176.9,64.1,F,non,bac,Bretagne,oui,non,2264,marié,,0.2,2021-04-21,,,500.0
Shaw,Tanya,48,154.8,79.4,F,oui,master,Corse,oui,oui,2735,célibataire,,0.84,2020-06-19,,537.89,8953.777582458606
Jenkins,Lauren,25,165.1,78.3,F,non,bac+2,Normandie,non,non,1897,divorcé,,0.6,2021-10-18,568.0,,500.0
Smith,Sara,69,175.5,56.9,F,oui,aucun,Île-de-France,oui,oui,3319,,,0.77,2022-10-14,,10000.0,7537.866183183554
Jimenez,John,50,165.3,86.2,F,oui,master,Normandie,non,non,3035,célibataire,4.0,0.34,2024-10-27,,5000.0,7113.31944843289
Shaw,William,33,169.4,91.0,H,non,bac+2,Occitanie,non,oui,1767,veuf,3.0,0.74,2022-10-23,,10000.0,8896.717526184904
Wheeler,April,41,164.5,79.4,H,non,aucun,Normandie,oui,oui,2702,,5.0,0.56,2023-09-07,,,500.0
Williams,Kristin,25,182.5,37.3,H,oui,master,Hauts-de-France,non,non,3691,marié,,0.16,2025-04-06,,,500.0
Thompson,Elijah,48,173.4,67.0,F,non,bac+2,Hauts-de-France,oui,oui,1971,marié,,0.48,2020-07-19,,,500.0
Mccarthy,Andres,56,160.7,59.9,F,oui,bac+2,Hauts-de-France,oui,oui,2989,marié,,1.0,2020-11-03,,5000.0,9707.608288401541
Brown,Charles,47,152.4,66.1,F,oui,master,Corse,oui,oui,5082,marié,0.0,0.08,2021-12-13,,608.61,16911.284175268138
Jones,Kent,29,165.5,74.4,H,non,master,Corse,non,oui,1105,marié,,0.02,2020-01-27,,10000.0,6373.196353943996
Lowe,Kevin,55,151.6,68.8,F,oui,aucun,Corse,non,oui,3525,célibataire,,0.13,2023-11-10,,487.76,8534.482797206663
Sanchez,William,43,187.3,91.8,F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,3773,divorcé,,0.61,2021-01-13,386.0,,23175.2953184235
Alvarez,Samuel,30,174.6,74.9,F,oui,bac,Occitanie,oui,non,1459,,3.0,0.62,2021-02-25,,5000.0,500.0
Gonzalez,Jamie,67,160.7,77.4,H,non,master,Occitanie,oui,oui,2575,veuf,,0.67,2024-04-03,,5000.0,12411.118571438687
Fernandez,Shawn,45,155.4,82.6,H,non,doctorat,Hauts-de-France,oui,oui,723,,,0.53,2021-10-26,655.0,,2456.623441420963
Hill,Elizabeth,46,169.5,57.4,F,non,bac,Bretagne,oui,oui,2731,célibataire,0.0,0.04,2024-06-18,,1219.68,4197.213158959312
Davis,Janice,30,157.1,70.9,F,non,aucun,Hauts-de-France,oui,non,4897,divorcé,3.0,0.9,2022-04-15,,958.9,500.0
Vaughn,Robin,58,162.0,65.0,H,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,3126,,5.0,0.68,2022-06-17,,,21860.83946953087
Quinn,Todd,74,180.5,69.6,H,oui,doctorat,Île-de-France,oui,oui,500,,,0.28,2023-05-02,,,22610.581586979737
Thompson,Erin,39,179.0,114.3,H,non,bac+2,Bretagne,non,oui,3299,divorcé,3.0,0.26,2024-08-09,725.0,5000.0,25301.57487470256
Stewart,Justin,75,149.9,65.5,F,non,doctorat,Corse,non,non,4138,célibataire,3.0,0.41,2024-03-23,,,500.0
Smith,James,18,157.1,71.4,F,non,doctorat,Provence-Alpes-Côte d’Azur,oui,non,2752,divorcé,4.0,0.34,2020-10-26,452.0,239.08,500.0
Jones,Katrina,32,161.9,70.0,H,non,bac+2,Hauts-de-France,oui,non,2675,,,0.77,2020-06-14,375.0,10000.0,500.0
Ramirez,Jennifer,71,168.3,65.1,F,oui,doctorat,Occitanie,oui,non,2635,marié,,0.83,2020-04-06,,532.72,500.0
Nelson,Debra,36,180.8,83.1,H,non,bac+2,Corse,oui,non,3285,,,0.11,2021-09-24,,1203.93,500.0
Cook,Karen,44,163.6,82.3,H,non,bac+2,Corse,oui,oui,987,célibataire,5.0,0.67,2020-05-18,,5000.0,500.0
White,Desiree,58,151.6,96.6,F,oui,bac,Corse,non,oui,2041,divorcé,3.0,0.93,2024-07-16,,5000.0,500.0
Miller,Jason,52,169.8,60.4,H,oui,aucun,Normandie,non,non,2776,,0.0,0.67,2021-03-08,838.0,,500.0
Jimenez,Melanie,31,163.5,99.1,H,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,non,1866,,5.0,0.12,2024-01-29,821.0,5000.0,3790.5115348642294
